# Every line here is a test262 failure praxis has not fixed yet, and a claim that the failure is
# understood. The file may only shrink: a listed test that starts passing fails the run until its
# line is deleted, and an unlisted test that starts failing fails the run.
#
# Format: <test path>[ (strict)] :: what went wrong
#
# Regenerate deliberately with `cargo run -p conformance -- --bless`. Do not regenerate to make a
# red build green — that is the one move this file exists to prevent.
# test262 defaaf1571cd13b183e3f505c6a06e8db316e593
annexB/language/comments/multi-line-html-close.js :: expected a Test262Error at runtime time, and it failed to parse: expected an expression, found `>`
annexB/language/comments/multi-line-html-close.js (strict) :: expected a Test262Error at runtime time, and it failed to parse: expected an expression, found `>`
annexB/language/comments/single-line-html-close-asi.js :: expected a Test262Error at runtime time, and it failed to parse: expected an expression, found `>`
annexB/language/comments/single-line-html-close-asi.js (strict) :: expected a Test262Error at runtime time, and it failed to parse: expected an expression, found `>`
annexB/language/comments/single-line-html-close-first-line-1.js :: expected a EvalError at runtime time, and it failed to parse: expected an expression, found `>`
annexB/language/comments/single-line-html-close-first-line-2.js :: expected a EvalError at runtime time, and it failed to parse: expected an expression, found `>`
annexB/language/comments/single-line-html-close-first-line-3.js :: expected a EvalError at runtime time, and it failed to parse: expected an expression, found `>`
annexB/language/comments/single-line-html-close-unicode-separators.js :: expected a Test262Error at runtime time, and it failed to parse: expected an expression, found `>`
annexB/language/comments/single-line-html-close-unicode-separators.js (strict) :: expected a Test262Error at runtime time, and it failed to parse: expected an expression, found `>`
annexB/language/comments/single-line-html-close.js :: expected a Test262Error at runtime time, and it failed to parse: expected an expression, found `>`
annexB/language/comments/single-line-html-close.js (strict) :: expected a Test262Error at runtime time, and it failed to parse: expected an expression, found `>`
annexB/language/comments/single-line-html-open.js :: expected a Test262Error at runtime time, and it failed to parse: expected an expression, found `<`
annexB/language/comments/single-line-html-open.js (strict) :: expected a Test262Error at runtime time, and it failed to parse: expected an expression, found `<`
annexB/language/expressions/assignmenttargettype/callexpression-as-for-in-lhs.js :: it did not parse: this expression cannot be assigned to
annexB/language/expressions/assignmenttargettype/callexpression-as-for-of-lhs.js :: it did not parse: this expression cannot be assigned to
annexB/language/expressions/assignmenttargettype/callexpression-in-compound-assignment.js :: it did not parse: this expression cannot be assigned to
annexB/language/expressions/assignmenttargettype/callexpression-in-postfix-update.js :: it did not parse: this expression cannot be assigned to
annexB/language/expressions/assignmenttargettype/callexpression-in-prefix-update.js :: it did not parse: this expression cannot be assigned to
annexB/language/expressions/assignmenttargettype/callexpression.js :: it did not parse: this expression cannot be assigned to
annexB/language/expressions/assignmenttargettype/cover-callexpression-and-asyncarrowhead.js :: it did not parse: this expression cannot be assigned to
annexB/language/function-code/function-redeclaration-block.js :: it did not parse: this name is bound twice in the same declaration
annexB/language/function-code/function-redeclaration-switch.js :: it did not parse: this name is bound twice in the same declaration
annexB/language/function-code/if-decl-else-stmt-func-skip-early-err-for-in.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-stmt-func-skip-early-err-for-of.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-stmt-func-skip-early-err-for.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-stmt-func-skip-early-err-switch.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-stmt-func-skip-early-err-try.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-stmt-func-skip-early-err.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-stmt-func-skip-param.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-else-stmt-func-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-no-else-func-block-scoping.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-no-else-func-existing-block-fn-no-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-no-else-func-existing-block-fn-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-no-else-func-existing-fn-no-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-no-else-func-existing-fn-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-no-else-func-existing-var-no-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-no-else-func-existing-var-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-no-else-func-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-no-else-func-no-skip-try.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-no-else-func-skip-dft-param.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-no-else-func-skip-early-err-block.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-no-else-func-skip-early-err-for-in.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-no-else-func-skip-early-err-for-of.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-no-else-func-skip-early-err-for.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-no-else-func-skip-early-err-switch.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-no-else-func-skip-early-err-try.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-no-else-func-skip-early-err.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-no-else-func-skip-param.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-decl-no-else-func-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-stmt-else-decl-func-block-scoping.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-stmt-else-decl-func-existing-block-fn-no-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-stmt-else-decl-func-existing-block-fn-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-stmt-else-decl-func-existing-fn-no-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-stmt-else-decl-func-existing-fn-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-stmt-else-decl-func-existing-var-no-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-stmt-else-decl-func-existing-var-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-stmt-else-decl-func-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-stmt-else-decl-func-no-skip-try.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-stmt-else-decl-func-skip-dft-param.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-stmt-else-decl-func-skip-early-err-block.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-stmt-else-decl-func-skip-early-err-for-in.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-stmt-else-decl-func-skip-early-err-for-of.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-stmt-else-decl-func-skip-early-err-for.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-stmt-else-decl-func-skip-early-err-switch.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-stmt-else-decl-func-skip-early-err-try.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-stmt-else-decl-func-skip-early-err.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-stmt-else-decl-func-skip-param.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/function-code/if-stmt-else-decl-func-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-a-global-block-scoping.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-a-global-existing-block-fn-no-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-a-global-existing-block-fn-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-a-global-existing-fn-no-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-a-global-existing-fn-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-a-global-existing-var-no-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-a-global-existing-var-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-a-global-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-a-global-no-skip-try.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-a-global-skip-early-err-block.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-a-global-skip-early-err-for-in.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-a-global-skip-early-err-for-of.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-a-global-skip-early-err-for.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-a-global-skip-early-err-switch.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-a-global-skip-early-err-try.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-a-global-skip-early-err.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-a-global-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-b-global-block-scoping.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-b-global-existing-block-fn-no-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-b-global-existing-block-fn-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-b-global-existing-fn-no-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-b-global-existing-fn-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-b-global-existing-var-no-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-b-global-existing-var-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-b-global-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-b-global-no-skip-try.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-b-global-skip-early-err-block.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-b-global-skip-early-err-for-in.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-b-global-skip-early-err-for-of.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-b-global-skip-early-err-for.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-b-global-skip-early-err-switch.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-b-global-skip-early-err-try.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-b-global-skip-early-err.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-decl-b-global-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-stmt-global-block-scoping.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-stmt-global-existing-block-fn-no-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-stmt-global-existing-block-fn-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-stmt-global-existing-fn-no-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-stmt-global-existing-fn-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-stmt-global-existing-var-no-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-stmt-global-existing-var-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-stmt-global-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-stmt-global-no-skip-try.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-stmt-global-skip-early-err-block.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-stmt-global-skip-early-err-for-in.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-stmt-global-skip-early-err-for-of.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-stmt-global-skip-early-err-for.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-stmt-global-skip-early-err-switch.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-stmt-global-skip-early-err-try.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-stmt-global-skip-early-err.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-else-stmt-global-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-no-else-global-block-scoping.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-no-else-global-existing-block-fn-no-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-no-else-global-existing-block-fn-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-no-else-global-existing-fn-no-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-no-else-global-existing-fn-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-no-else-global-existing-var-no-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-no-else-global-existing-var-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-no-else-global-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-no-else-global-no-skip-try.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-no-else-global-skip-early-err-block.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-no-else-global-skip-early-err-for-in.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-no-else-global-skip-early-err-for-of.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-no-else-global-skip-early-err-for.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-no-else-global-skip-early-err-switch.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-no-else-global-skip-early-err-try.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-no-else-global-skip-early-err.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-decl-no-else-global-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-stmt-else-decl-global-block-scoping.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-stmt-else-decl-global-existing-block-fn-no-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-stmt-else-decl-global-existing-block-fn-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-stmt-else-decl-global-existing-fn-no-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-stmt-else-decl-global-existing-fn-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-stmt-else-decl-global-existing-var-no-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-stmt-else-decl-global-existing-var-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-stmt-else-decl-global-init.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-stmt-else-decl-global-no-skip-try.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-stmt-else-decl-global-skip-early-err-block.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-stmt-else-decl-global-skip-early-err-for-in.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-stmt-else-decl-global-skip-early-err-for-of.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-stmt-else-decl-global-skip-early-err-for.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-stmt-else-decl-global-skip-early-err-switch.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-stmt-else-decl-global-skip-early-err-try.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-stmt-else-decl-global-skip-early-err.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/global-code/if-stmt-else-decl-global-update.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/statements/for-in/nonstrict-initializer.js :: it did not parse: a `for`-`in` or `for`-`of` binding may not have an initializer
annexB/language/statements/labeled/function-declaration.js :: it did not parse: a declaration may not stand where only a statement may
annexB/language/statements/try/catch-redeclared-for-in-var.js :: it did not parse: the catch parameter is already declared in the catch block
annexB/language/statements/try/catch-redeclared-for-in-var.js (strict) :: it did not parse: the catch parameter is already declared in the catch block
annexB/language/statements/try/catch-redeclared-for-of-var.js :: it did not parse: the catch parameter is already declared in the catch block
annexB/language/statements/try/catch-redeclared-for-of-var.js (strict) :: it did not parse: the catch parameter is already declared in the catch block
annexB/language/statements/try/catch-redeclared-for-var.js :: it did not parse: the catch parameter is already declared in the catch block
annexB/language/statements/try/catch-redeclared-for-var.js (strict) :: it did not parse: the catch parameter is already declared in the catch block
annexB/language/statements/try/catch-redeclared-var-statement-captured.js :: it did not parse: the catch parameter is already declared in the catch block
annexB/language/statements/try/catch-redeclared-var-statement-captured.js (strict) :: it did not parse: the catch parameter is already declared in the catch block
annexB/language/statements/try/catch-redeclared-var-statement.js :: it did not parse: the catch parameter is already declared in the catch block
annexB/language/statements/try/catch-redeclared-var-statement.js (strict) :: it did not parse: the catch parameter is already declared in the catch block
language/expressions/class/decorator/syntax/class-valid/decorator-member-expr-private-identifier.js :: it did not parse: unexpected character
language/expressions/class/decorator/syntax/class-valid/decorator-member-expr-private-identifier.js (strict) :: it did not parse: unexpected character
language/expressions/class/decorator/syntax/valid/decorator-call-expr-identifier-reference-yield.js :: it did not parse: unexpected character
language/expressions/class/decorator/syntax/valid/decorator-call-expr-identifier-reference.js :: it did not parse: unexpected character
language/expressions/class/decorator/syntax/valid/decorator-call-expr-identifier-reference.js (strict) :: it did not parse: unexpected character
language/expressions/class/decorator/syntax/valid/decorator-member-expr-decorator-member-expr.js :: it did not parse: unexpected character
language/expressions/class/decorator/syntax/valid/decorator-member-expr-decorator-member-expr.js (strict) :: it did not parse: unexpected character
language/expressions/class/decorator/syntax/valid/decorator-member-expr-identifier-reference-yield.js :: it did not parse: unexpected character
language/expressions/class/decorator/syntax/valid/decorator-member-expr-identifier-reference.js :: it did not parse: unexpected character
language/expressions/class/decorator/syntax/valid/decorator-member-expr-identifier-reference.js (strict) :: it did not parse: unexpected character
language/expressions/class/decorator/syntax/valid/decorator-parenthesized-expr-identifier-reference-yield.js :: it did not parse: unexpected character
language/expressions/class/decorator/syntax/valid/decorator-parenthesized-expr-identifier-reference.js :: it did not parse: unexpected character
